Model,GridSearchCV CV macro-F1 (Task 05),GridSearchCV Test F1 (Task 05),RandomizedSearchCV CV macro-F1 (Bonus),RandomizedSearchCV Test F1 (Bonus),CV Improvement
Logistic Regression,0.9582284017187004,0.9961398955109647,0.976086196114237,0.9793346285137255,0.0179
Random Forest,0.7935139048027271,0.7458730771614207,0.8059497313802846,0.7635604645148654,0.0124
SVM,0.9720026325630069,0.9840063803299097,0.9777738923167234,0.9716513550001645,0.0058
